Name,Size,Type,Sub-Type,Alignment,AC,Hit Points,STR,DEX,CON,INT,WIS,CHA,Challenge,Proficiency Bonus
Adult_Red_Dragon,H,Dragon,Red Dragon,CE,19 (natural),256 (19d12+133),27,10,25,16,13,21,17,6
Adult_Rime_Worm,L,Elemental,,N,15 (natural),105 (10d10+50),20,14,20,6,14,3,6,3
Adult_Sapphire_Dragon,H,Dragon,"Sapphire Dragon, Gem",LN,18 (natural),225 (18d12+108),23,14,22,18,17,18,15,5
Adult_Sea_Dragon,H,Dragon,Sea Dragon,NE,19 (natural),225 (18d12+108),25,10,23,17,15,19,16,5
Adult_Silver_Dragon,H,Dragon,Silver Dragon,LG,19 (natural),243 (18d12+126),27,10,25,16,13,21,16,5
Adult_Topez_Dragon,H,Dragon,"Topez Dragon, Gem",CN,18 (natural),210 (20d12+80),19,12,19,18,17,18,13,5
Adult_Void_Dragon,H,Dragon,Void Dragon,CN,19 (natural),229 (17d12+119),24,10,25,16,13,21,14,5
Adult_Wasteland_Dragon,H,Dragon,Wasteland Dragon,CE,18 (natural),225 (18d12+108),26,10,21,14,13,16,17,6
Adult_White_Dragon,H,Dragon,White Dragon,CE,18 (natural),200 (16d12+96),22,10,22,8,12,12,13,5
Adult_Wind_Dragon,H,Dragon,Wind Dragon,CN,19 (natural),237 (19d12+114),24,19,22,16,15,18,17,6
Advanced_Demilich,T,Undead,,NE,21 (natural),172 (23d4+115),10,10,20,23,20,23,24,7
Aeorian_Absorber,L,Monstrosity,,NE,15 (natural),171 (18d10+72),21,18,18,6,14,8,10,4
Aeorian_Nullifier,L,Monstrosity,,NE,17 (natural),180 (19d10+76),19,14,18,7,14,18,12,4
Aeorian_Reverser,L,Monstrosity,,NE,15 (natural),133 (14d10+56),21,16,18,6,14,8,8,3
Aerial_Assault_Gnome,S,Humanoid,Gnome,CN,18 (armored flight suit),44 (8d6+16),8,16,14,16,10,10,8,3
Aerial_Servant,M,Elemental,,N,18 (natural),152 (16d8+80),20,18,20,4,10,11,9,4
Aerisi_Kalinoth,M,Humanoid,Elf,NE,13 (16 with mage armor),66 (12d8+12),8,16,12,17,10,16,7,3
Aeshma_(Rage_Demon),L,Fiend,Demon,CE,19 (natural),216 (16d10+128),22,18,26,14,17,17,10,4
Agdon_Longscarf,M,Fey,Harengon,CE,"19 (studded leather, shield)",36 (8d8),11,20,11,11,14,16,2,2
Agnibarra,S,Monstrosity,,CN,12,39 (6d6+18),12,14,16,8,10,12,1,2
Ahd_Moar,L,Fey,,N,21 (natural),322 (28d10+168),18,19,22,24,22,24,18,6
Ahmaergo,M,Humanoid,Dwarf,LE,18 (plate),143 (22d8+44),20,15,14,15,14,12,9,4
Ahu-Nixta,L,Aberration,,NE,14 (clockwork armor),67 (9d10+18),17,15,14,19,13,10,3,2
Ahu-Nixta_Cataphract,L,Aberration,,NE,17 (clockwork armor),135 (18d10+36),20,8,14,19,13,10,8,3
Ahu-Nixta_Drudge,M,Aberration,,NE,13 (clockwork armor),26 (4d8+8),15,12,14,12,10,10,0.5,2
Ahuizotl,S,Monstrosity,,,14 (natural),71 (13d6+26),16,15,14,6,12,6,2,2
Air_Dragon_Elemental,H,Elemental,,NE,15,312 (25d12+150),27,20,23,16,15,19,17,6
Air_Elemental,L,Elemental,,N,15,90 (12d10+24),14,20,14,6,10,6,5,3
Air_Elemental_Myrmidon,M,Elemental,,N,18 (plate),117 (18d8+36),18,14,14,9,10,10,7,3
Akaasit,M,Construct,,,15 (natural),91 (14d8+28),13,18,14,3,10,5,6,3
Akhlut,L,Beast,,,14 (natural),120 (16d10+32),19,15,15,4,12,10,6,3
Akyishigal,L,Fiend,Demon,CE,18 (natural),138 (12d10+72),21,17,22,19,14,24,12,4
Al-Aeshma,L,Elemental,,CE,17 (natural),172 (15d10+90),21,15,22,15,16,20,9,4
Ala,M,Fey,,CE,17 (natural),127 (15d8+60),20,16,18,10,16,8,8,3
Alabaster_Tree,H,Celestial,,NG,18 (natural),105 (10d12+40),20,10,18,10,14,10,7,3
Albino_Cave_Spider,T,Beast,,,15 (natural),2 (1d4),4,14,10,2,10,3,0.5,2
Albino_Death_Weasel,L,Beast,,,13 (natural),45 (6d10+12),16,14,15,4,15,5,1,2
Albino_Dwarf_Warrior,M,Humanoid,Dwarf,,13 (hide),49 (9d8+9),13,13,17,12,14,11,0.25,2
Alchemical_Apprentice_Ooze,S,Ooze,,,11 (natural),63 (14d6+14),13,6,13,16,6,10,1,2
Alchemical_Golem,L,Construct,,,15 (natural),147 (14d10+70),18,7,21,7,10,1,9,4
Alchemical_Ooze,L,Ooze,,,10,93 (11d10+33),17,4,16,1,7,1,4,2
Alchemical_Skunk,S,Monstrosity,,,15 (natural),55 (12d6+24),13,17,14,2,12,7,4,2
Aldani_(Lobsterfolk),M,Monstrosity,,LN,14 (natural),49 (9d8+9),13,8,12,10,14,10,1,2
Ale_Ooze,L,Ooze,,,8,30 (4d10+8),15,6,15,2,6,1,2,2
Alehouse_Drake,T,Dragon,,CN,13,65 (10d4+40),7,16,19,11,12,16,0.5,2
Algoid,M,Plant,,N,14,52 (7d8+21),19,10,16,4,10,10,3,2
Algorith,M,Construct,,LN,18 (natural),136 (16d8+64),21,14,19,13,16,18,10,4
Alhoun,M,Undead,,,15 (natural),120 (16d8+48),11,12,16,19,17,17,10,4
Alkilith,M,Fiend,Demon,CE,17 (natural),157 (15d8+90),12,19,22,6,11,7,11,4
Alkonost,S,Monstrosity,,N,12,17 (5d6),11,14,10,7,14,13,0.5,2
Alligator,M,Beast,,,13 (natural),11 (2d8+2),15,10,13,2,10,5,0.25,2
Alligator_Turtle,M,Beast,,,15 (natural),11 (2d8+2),15,12,13,2,12,7,0.25,2
Allip,M,Undead,,CE,11,33 (6d8+6),6,13,13,11,11,16,2,2
Alliumite,S,Plant,,CN,14,18 (4d6+4),6,18,12,7,12,9,0.25,2
Allosaurus,L,Beast,,,13 (natural),51 (6d10+18),19,13,17,2,12,5,2,2
Almiraj,S,Beast,,,13,3 (1d6),2,16,10,2,14,10,0,2
Alnaar,L,Fiend,Demon,CE,17 (natural),212 (25d10+75),20,22,17,9,12,10,9,4
Alp,S,Fey,Shapechanger,CE,13,44 (8d6+16),12,16,14,10,16,8,1,2
Alpha_Fish,L,Beast,,,13 (natural),59 (7d10+21),16,13,16,1,10,12,3,2
Alpha_Yek,M,Fiend,Demon,CE,16 (natural),129 (16d8+48),16,16,16,15,13,10,9,4
Alquam,H,Fiend,Demon,CE,20 (natural),350 (28d12+168),14,19,23,16,20,16,21,7
Alseid,M,Monstrosity,,CN,14 (leather),49 (9d8+9),13,17,12,8,16,8,0.5,2
Alseid_Grovekeeper,M,Monstrosity,,CN,15 (studded leather),71 (13d8+13),13,17,12,8,16,8,3,2
Alsikaya_the_Screeching_Mother_of_Volcanoes,H,Fiend,Demon,CE,22 (natural),495 (30d12+300),28,14,30,16,24,19,28,8
Alter_Flame_Golem,L,Construct,,N,16 (natural),152 (16d10+64),19,9,18,3,10,1,10,4
Amalgamation,G,Construct,,N,16,435 (20d20+120),23,10,18,2,15,1,14,5
Amber_Ooze_(Large),L,Ooze,,,7,76 (9d10+27),16,5,17,1,6,1,4,2
Amber_Ooze_(Tiny),T,Ooze,,,8,13 (3d4+6),12,8,14,1,1,1,0.5,2
Ambush_Drake,M,Dragon,,,13 (natural),22 (4d6+8),13,15,14,4,11,6,0.5,2
Amethyst_Dragon_Wyrmling,M,Dragon,"Amethyst Dragon, Gem",N,17 (natural),75 (10d8+30),19,10,17,16,13,17,4,2
Amidor_the_Dandelion,S,Plant,,NG,12,28 (8d6),6,15,10,13,12,17,0.5,2
Ammalia_Cassalanter,M,Humanoid,Human,LE,12 (15 with mage armor),45 (10d8),9,14,11,17,12,15,5,3
Ammut,L,Celestial,,N,17 (natural),172 (15d10+90),20,12,23,6,16,12,9,4
Amnizu,M,Fiend,Devil,LE,21 (natural),202 (27d8+81),11,13,16,20,12,18,18,6
Amphiptere,M,Beast,,,15 (natural),60 (8d8+24),11,18,17,2,16,6,3,2
Amphisbaena,L,Monstrosity,,,15 (natural),60 (8d10+16),17,15,14,2,12,2,3,2
Amphoron_of_Yothri_Juggernaut,L,Construct,,N,17 (natural),102 (12d10+36),18,10,16,6,10,6,6,3
Amphoron_of_Yothri_Warrior,M,Construct,,N,17 (natural),33 (6d8+6),14,11,12,10,10,6,2,2
Amphoron_of_Yothri_Worker,S,Construct,,N,17 (natural),13 (3d6+3),9,11,12,8,9,6,0.5,2
Amrik_Vanthampur,M,Humanoid,Human,LE,"17 (leather, charisma modifier)",66 (12d8+12),12,18,12,14,14,15,3,2
Anarch,Either S or M,Humanoid,,CN,13 (hide),11 (2d8+2),14,13,12,9,11,10,0.25,2
Ancient_Amethyst_Dragon,G,Dragon,"Amethyst Dragon, Gem",N,20 (natural),444 (24d20+192),26,14,27,26,19,23,23,7
Ancient_Black_Dragon,G,Dragon,Black Dragon,CE,22 (natural),367 (21d20+147),27,14,25,16,15,19,21,7
Ancient_Blue_Dragon,G,Dragon,Blue Dragon,LE,22 (natural),481 (26d20+208),29,10,27,18,17,21,23,7
Ancient_Boreal_Dragon,G,Dragon,Boreal Dragon,CN,22 (natural),407 (22d20+176),29,10,27,17,19,18,24,7
Ancient_Brass_Dragon,G,Dragon,Brass Dragon,CG,20 (natural),297 (17d20+119),27,10,25,16,15,19,20,6
Ancient_Bronze_Dragon,G,Dragon,Bronze Dragon,LG,22 (natural),444 (24d20+192),29,10,27,18,17,21,22,7
Ancient_Brown_Dragon,G,Dragon,Brown Dragon,,23 (natural),577 (33d20+231),30,10,25,13,20,6,25,8
Ancient_Cloud_Dragon,G,Dragon,Cloud Dragon,N,19 (natural),367 (21d20+147),27,13,25,21,18,19,22,7
Ancient_Copper_Dragon,G,Dragon,Copper Dragon,CG,21 (natural),350 (20d20+140),27,12,25,20,17,19,21,7
Ancient_Crystal_Dragon,G,Dragon,"Crystal Dragon, Gem",CN,20 (natural),222 (12d20+96),25,12,26,20,16,21,19,6
Ancient_Deep_Dragon,G,Dragon,Deep Dragon,NE,20 (natural),201 (13d20+65),23,16,20,19,18,21,18,6
Ancient_Dragon_Turtle,G,Dragon,Dragon Turtle,N,22 (natural),409 (21d20+189),28,12,29,14,19,15,24,7
Ancient_Dungeon_Dragon,G,Dragon,"Dungeon Dragon, Shape Changer",N,19 (natural),490 (28d20+196),27,12,25,20,17,19,21,7
Ancient_Electrum_Dragon,G,Dragon,Electrum Dragon,NG,22 (natural),507 (26d20+234),30,10,29,18,16,24,23,7
Ancient_Emerald_Dragon,G,Dragon,"Emerald Dragon, Gem",LN,20 (natural),332 (19d20+133),25,12,25,20,18,20,21,7
Ancient_Faerie_Dragon,H,Fey,,N,24 (natural),400 (32d12+192),28,19,22,20,28,28,21,7
Ancient_Flame_Dragon,G,Dragon,Flame Dragon,CE,22 (natural),481 (26d20+208),23,14,27,19,16,22,24,7
Ancient_Gold_Dragon,G,Dragon,Gold Dragon,LG,22 (natural),546 (28d20+252),30,14,29,18,17,28,24,7
Ancient_Gray_Dragon,G,Dragon,Gray Dragon,NE,21 (natural),455 (26d20+182),28,14,25,19,19,19,21,7
Ancient_Green_Dragon,G,Dragon,Green Dragon,LE,21 (natural),385 (22d20+154),27,12,25,20,17,19,22,7
Ancient_Green_Dragon_Zombie,G,Undead,,LE,19 (natural),385 (22d20+154),27,10,25,11,12,12,20,6
Ancient_Imperial_Dragon,G,Dragon,Imperial Dragon,N,22 (natural),546 (28d20+252),30,12,29,20,18,20,26,8
Ancient_Light_Dragon,G,Dragon,Light Dragon,NG,22 (natural),407 (22d20+176),26,10,27,18,20,19,22,7
Ancient_Mandriano,H,Plant,,LE,14 (natural),102 (12d12+24),21,8,15,12,10,7,8,3
Ancient_Mist_Dragon,G,Dragon,Mist Dragon,N,19 (natural),333 (18d20+144),26,14,26,12,15,14,20,6
Ancient_Mithral_Dragon,G,Dragon,Mithral Dragon,N,20 (natural),297 (17d20+119),29,16,25,24,25,24,18,6
Ancient_Moonstone_Dragon,G,Dragon,Moonstone Dragon,N,20 (natural),330 (20d20+120),22,18,23,20,22,26,21,7
Ancient_Red_Dragon,G,Dragon,Red Dragon,CE,22 (natural),546 (28d20+252),30,10,29,18,15,23,24,7
Ancient_Sapphire_Dragon,G,Dragon,"Sapphire Dragon, Gem",LN,20 (natural),370 (20d20+160),27,14,27,21,19,20,22,7
Ancient_Sea_Dragon,G,Dragon,Sea Dragon,NE,22 (natural),481 (26d20+208),29,10,27,19,17,21,22,7
Ancient_Sea_Serpent,G,Dragon,Sea Serpent,N,17 (natural),170 (11d20+55),24,15,20,13,16,12,14,5
Ancient_Silver_Dragon,G,Dragon,Silver Dragon,LG,22 (natural),487 (25d20+225),30,10,29,18,15,23,23,7
Ancient_Titan,G,Celestial,Titan,NG,15 (breastplate),198 (12d20+72),27,13,22,16,16,20,12,4
Ancient_Topez_Dragon,G,Dragon,"Topez Dragon, Gem",CN,20 (natural),280 (17d20+102),23,12,23,20,19,20,20,6
Ancient_Void_Dragon,G,Dragon,Void Dragon,CN,22 (natural),448 (23d20+207),28,10,29,18,15,23,24,7
Ancient_Wasteland_Dragon,G,Dragon,Wasteland Dragon,CE,22 (natural),333 (18d20+144),28,10,26,16,15,19,23,7
Ancient_White_Dragon,G,Dragon,White Dragon,CE,20 (natural),333 (18d20+144),26,10,26,10,13,14,20,6
Ancient_Wind_Dragon,G,Dragon,Wind Dragon,CN,20 (natural),425 (23d20+184),28,19,26,18,17,20,22,7
Andrenjinyi,G,Celestial,,N,18 (natural),228 (13d20+91),30,17,25,10,18,23,15,5
Androsphinx,L,Monstrosity,,LN,17 (natural),199 (19d10+95),22,10,20,16,18,23,17,6
Angatra,M,Undead,,NE,17 (natural),85 (8d10+40),14,20,18,8,12,15,6,3
Angel_of_Judgment,H,Celestial,Angel,N,19 (natural),229 (17d12+119),23,18,25,22,24,20,18,6
Angelic_Enforcer,L,Celestial,Angel,LG,18 (natural),152 (16d10+64),22,18,18,18,20,20,12,4
Angler_Worm,H,Monstrosity,,,14 (natural),133 (14d12+42),14,5,16,3,14,1,4,2
Animated_Armor,M,Construct,,,18 (natural),33 (6d8+6),14,11,13,1,3,1,1,2
"Animated_Armor,_Unfinished",M,Construct,,,18 (natural),33 (6d8+6),14,11,13,1,3,1,2,2
Animated_Bearskin_Rug,L,Construct,,,13 (natural),65 (10d10+10),18,13,12,1,3,1,4,2
Animated_Breath,L,Elemental,,NE,15 (natural),95 (10d10+40),19,11,18,6,10,5,6,3
Animated_Broom,S,Construct,,,15 (natural),17 (5d6),10,17,10,1,5,1,0.25,2
Animated_Chained_Library,L,Construct,,,14 (natural),45 (6d10+12),15,8,14,1,5,1,1,2
Animated_Feast,L,Construct,,,16 (natural),32 (5d10+5),16,16,13,1,5,1,2,2
Animated_Statue,L,Construct,,,16 (natural),52 (7d10+14),16,10,14,1,3,1,2,2
Animated_Stove,L,Construct,,,17,50 (7d12),14,10,10,3,3,1,3,2
Animated_Table,L,Construct,,,15 (natural),39 (6d10+6),18,8,13,1,3,1,2,2
Aniwye,L,Monstrosity,Shapechanger,NE,15 (natural),102 (12d10+36),19,14,16,8,14,9,5,3
Ankheg,L,Monstrosity,,,14 (natural),39 (6d10+6),17,11,13,1,13,6,2,2
Ankou_Soul_Herald,G,Dragon,,N,18 (natural),407 (22d20+176),25,10,27,17,18,19,21,7
Ankou_Soul_Seeker,L,Dragon,,N,15 (natural),171 (18d10+72),17,10,19,13,14,16,8,3
Ankylosaurus,H,Beast,,,15 (natural),68 (8d12+16),19,11,15,2,12,5,3,2
Ankylosaurus_Zombie,H,Undead,,,14 (natural),68 (8d12+16),19,9,15,2,6,3,3,2
Annis_Hag,L,Fey,Hag,CE,17 (natural),75 (10d10+20),21,12,14,13,14,15,6,3
Anophiloi,S,Monstrosity,,N,12,33 (6d6+12),12,14,14,5,12,6,1,2
Ant_Lion,L,Beast,,,15 (natural),93 (11d10+33),14,11,17,2,10,4,4,2
Anti-Paladin,M,Humanoid,,LE,18 (plate),117 (18d8+36),18,14,15,12,14,19,10,4
Anubian,M,Elemental,,CE,13,44 (8d8+8),12,16,12,10,12,10,2,2
Anvilwrought_Raptor,T,Construct,,,14 (natural),18 (4d4+8),12,16,14,3,14,1,0.5,2
Anxious_Apprentice,M,Humanoid,,,10 (13 with mage armor),13 (3d8),10,10,10,17,12,10,1,2
Anzu,L,Monstrosity,,N,16 (natural),152 (16d10+64),20,14,18,7,15,10,9,4
Apau_Perape,L,Fiend,Demon,CE,16 (natural),95 (10d10+40),21,18,19,10,12,15,6,3
Apaxrusl,M,Construct,,N,13 (natural),60 (8d8+24),17,13,16,9,6,7,3,2
Ape,M,Beast,,,12,19 (3d8+6),16,14,14,6,12,7,0.5,2
Aphemia_the_Dissonant_Song_(Harpy),M,Monstrosity,,CE,15 (natural),52 (8d8+16),13,16,15,13,14,16,5,3
Applehead,T,Construct,Plant,,13,8 (3d4+1),4,18,13,3,8,1,0.25,2
Apprentice_Mage,M,Humanoid,,,11,9 (2d8),10,12,10,14,12,12,0.25,2
Apprentice_Wizard,M,Humanoid,,,10,9 (2d8),10,10,10,14,10,11,0.25,2
Arachnocrat,M,Fiend,Devil,LE,15 (natural),93 (17d8+17),13,17,12,16,14,18,5,3
Aranea,L,Monstrosity,,CE,14 (natural),39 (6d10+6),14,16,12,16,12,6,3,2
Arasta,H,Monstrosity,,NE,19 (natural),300 (24d12+144),24,16,23,15,22,17,21,7
Arbeyach,L,Fiend,Devil,LE,17 (natural),275 (22d10+154),22,20,25,19,21,25,21,7
Arborcyte,L,Plant,,CN,16 (natural),127 (15d10+45),21,12,16,5,10,3,8,3
Arboreal_Grappler,M,Aberration,,NE,14 (natural),90 (12d8+36),16,16,16,6,10,6,3,2
Arcamag,T,Monstrosity,Shapechanger,N,13 (natural),22 (5d4+10),7,10,15,5,12,18,2,2
Arcanaloth,M,Fiend,Yugoloth,NE,17 (natural),104 (16d8+32),17,12,14,20,16,17,12,4
Arcanaphage,M,Monstrosity,,,14,60 (8d8+24),10,18,16,2,10,8,4,2
Arcanoplasm,L,Monstrosity,,N,12 (natural),103 (9d10+54),15,6,22,10,14,14,4,2
Archaeopteryx,T,Beast,,,12 (natural),7 (3d4),6,13,10,2,14,6,0.25,2
Archaic,G,Celestial,,N,20 (natural),245 (14d20+98),25,10,24,27,24,20,18,6
Archdruid,M,Humanoid,,,"16 (hide, shield)",132 (24d8+24),10,14,12,12,20,11,12,4
Archer,M,Humanoid,,,16 (studded leather),75 (10d8+30),11,18,16,11,13,10,3,2
Archer_Bush,S,Plant,,,13 (natural),78 (12d6+36),11,15,16,2,11,9,1,2
Archfey,M,Fey,,CN,19 (natural),187 (25d8+75),10,16,16,13,20,18,21,7
Archivist,M,Humanoid,,,11,9 (2d8),10,12,10,14,12,12,0.25,2
Archmage,M,Humanoid,,,12,99 (18d8+18),10,14,12,20,15,16,12,4
Archon_of_Falling_Stars,M,Celestial,Archon,LG,18 (plate),144 (17d8+68),20,15,19,15,21,19,12,4
Archon_of_Redemption,L,Celestial,Archon,LN,17 (natural),136 (16d8+64),18,18,18,17,20,20,10,4
Archon_of_the_Triumvirate,M,Celestial,Archon,LN,18 (plate),144 (17d8+68),20,15,19,15,21,18,14,5
Arclight_Phoenix,M,Elemental,,CN,16,142 (19d8+57),15,22,17,5,12,7,12,4
"Argenta,_Goddess_of_Healing",G,Celestial,,NG,24 (natural),656 (32d20+320),30,10,30,26,30,24,30,9
Aridni,S,Fey,,NE,15,82 (15d6+30),9,21,14,12,11,16,5,3
Arkhan_the_Cruel,M,Humanoid,Dragonborn,LE,"23 (obsidian flint dragon plate, shield)",221 (26d8+104),20,12,18,10,10,18,16,5
Arkoan_Hoplite,M,Humanoid,,,18 (breastplate and shield),52 (8d8+16),16,16,14,11,14,13,3,2
Armanite,L,Fiend,Demon,CE,16 (natural),84 (8d10+40),21,18,21,8,12,13,7,3
Armor_Plated_Beaver,M,Beast,,,17 (natural),27 (5d8+5),14,11,13,5,11,4,1,2
Armored_Bear,L,Beast,,,15 (half-plate),47 (5d10+20),19,10,18,2,14,7,3,2
Armored_Griffin,L,Monstrosity,,LG,16 (breastplate),45 (6d10+12),18,16,14,12,16,10,3,2
Armored_Troll,L,Giant,,CE,18 (plate),126 (12d10+60),20,10,20,7,9,7,10,4
Armory_Golem,L,Construct,,,15 (natural),136 (16d10+48),20,14,16,10,10,2,7,3
Arrant_Quill,M,Humanoid,Human,NE,14,135 (18d8+54),10,18,16,16,15,20,11,4
Art_Elemental_Mascot,S,Elemental,,N,11,18 (4d6+4),6,13,12,8,11,15,0.25,2
Artificer_of_Yothri,M,Aberration,,CE,16 (natural),66 (12d8+12),8,14,12,20,11,15,5,3
Artus_Cimber,M,Humanoid,Human,NG,14 (studded Leather),82 (15d8+15),10,15,13,17,16,18,7,3
Asanbosam,L,Aberration,,CE,14 (natural),102 (12d10+36),18,13,17,11,10,5,5,3
Ascomoid,L,Plant,,,12 (natural),76 (9d10+27),19,13,17,0,11,1,3,2
Ash_Drake,S,Dragon,,NE,16 (natural),117 (18d6+54),14,15,16,9,15,10,4,2
